,network,age,rep?
1,n1,A,yes
2,n1,A,yes
3,n1,A,yes
4,n1,A,yes
5,n1,A,yes
6,n1,A,yes
7,n1,A,yes
8,n1,A,yes
9,n1,A,yes
10,n1,A,yes
11,n1,A,yes
12,n1,A,yes
13,n1,A,yes
14,n1,A,yes
15,n1,A,yes
16,n1,A,yes
17,n1,A,yes
18,n1,A,yes
19,n1,A,yes
20,n1,A,yes
21,n1,A,yes
22,n1,A,yes
23,n1,A,yes
24,n1,A,no
25,n1,B,yes
26,n1,B,yes
27,n1,B,yes
28,n1,B,yes
29,n1,B,yes
30,n1,B,yes
31,n1,B,yes
32,n1,C,yes
33,n1,C,yes
34,n1,C,yes
35,n1,C,yes
36,n1,C,yes
37,n1,C,yes
38,n1,C,yes
39,n1,C,yes
40,n1,D,yes
41,n1,D,yes
42,n1,D,yes
43,n1,E,yes
44,n1,E,yes
45,n1,E,yes
46,n1,E,yes
47,n1,E,yes
48,n1,E,yes
49,n1,E,yes
50,n1,E,yes
51,n1,E,yes
52,n1,E,yes
53,n1,E,yes
54,n1,E,yes
55,n1,E,yes
56,n1,E,yes
57,n1,E,yes
58,n1,E,yes
59,n1,E,yes
60,n1,E,no
61,n1,E,no
62,n2,A,no
63,n2,A,no
64,n2,A,no
65,n2,A,no
66,n2,A,no
67,n2,A,no
68,n3,A,yes
69,n3,C,yes
70,n3,D,yes
71,n3,D,yes
72,n3,D,no
73,n3,E,yes
